SYMBOL,NAME OF COMPANY
ABB India Limited,ABB
Aegis Logistics Ltd.,AEGISLOG
Torrent Power AEC Limited,TPAEC
Akar Laminators Ltd.,AKARLAMIN
Alpha Drugs India Ltd,ALPHADR
Amara Raja Energy & Mobility Limited,ARE&M
Ambalal Sarabhai Enterprise Ltd.,AMBALALSA
Housing Development Finance Corp.Lt,HDFC
Amrut Industries Ltd,AMRTMIL-BDM
Andhra Petrochemicals Ltd.,ANDHRAPET
Ansal Properties & Infrastructure Ltd.,ANSALAPI
UTIQUE ENTERPRISES LIMITED,UTIQUE
ICICI Ltd.,ICICIDM
Aruna Hotels Ltd.,ARUNAHTEL
Arvind Polycot Limited,ARPOLDM
Bank Of Rajasthan Ltd.,BOR
Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING
Asian Coffee Ltd,ASINCOF
Asian Hotels (North) Limited,ASIANHOTNR
Assam Company (India) Limited,ASSAMCO
Assambrook Limited,ASSAMBR
Atash Industries Ltd,ATSHIND
Atul Limited.,ATUL
ATV Projects India Ltd,ATVPR
Autolite (India) Ltd.,AUTOLITIND
Autoriders Finance Ltd.,AUTORIDFIN
Bajaj Electricals Ltd.,BAJAJELEC
Bajaj Hindusthan Sugar Limited,BAJAJHIND
Force Motors Limited,FORCEMOT
Bajaj Finance Limited,BAJFINANCE
Balaji Distilleries Ltd.,BALAJIDI
Balaji Industrial Corporation Ltd.,BALAJIIND
Balmer Lawrie Freight Containers Lt,BALMERL-B
Balrampur Chini Mills Ltd.,BALRAMCHIN
Banco Products (India) Ltd.,BANCOINDIA
ADITYA BIRLA REAL ESTATE LIMITED,ABREL
Bannari Amman Sugars Ltd.,BANARISUG
BASF India Ltd,BASF
Bata India Limited,BATAINDIA
Rayban Sun Optics India Ltd.,RAYBAN
Bellary Steel & Alloys Ltd,BELLARYS
Best & Crompton Engineering Ltd.,BECREL
Beta Napthol Limited,BETANAP
BEML Ltd,BEML
Bharat Electronics Ltd.,BEL
"Bharat Rasayan Ltd.,",BHARATRA
Bhagawati Gas Limited,BHAGGAS
Bhansali Engineering Polymers Ltd.,BEPL
Bharat Zinc Limited,BHAZINC
Bharti Telecom Ltd.(Delisted for Takeover-21(3a)),BHRTITE-B
TATA STEEL BSL LIMITED,TATASTLBSL
Mastergrowth - 93 (Scheme Of UTI),UTIMRDM
Aditya Birla Chemicals (India) Limited,ABCIL
Bihar Sponge Iron Ltd,BIHSPONG
Binani Industries Limited,BINANIIND
Birla Cable Limited,BIRLACABLE
Andhra Valley Power Supply Company,ANVALDM
Ashok Leyland Finance Ltd.,ASHOKLEYFIN
Oswal Chemicals & Fertilizers Ltd,OSWALCHEM
Birla Global Finance Ltd.,BGFL
Blue Star Ltd,BLUESTARCO
Disa India Ltd.,DISAQ
QUEST CAPITAL MARKETS LIMITED,QUESTCAP
Bank Of Punjab Ltd.,BOP
Bongaingaon Refinery & Petrochemica,BONGAIREFN
BPL Engineering Ltd.,BPLENG
BPL Ltd.,BPL
Nagarjuna Fertiliser & Chem. Ltd.,NAGARFER
"Burroughs Wellcome (India) Ltd.,",BURROWEL
Cable Corporation of India Ltd.,CCI
ORIENTAL AROMATICS LIMITED,OAL
Carrier Aircon Ltd,CARIR
Cauvery Software Engg. Systems Ltd.,CAUVERSOFT
Celeste International Ltd.,CELEINT
Centak Chemicals Ltd.,CENCHDM
Century Extrusions Ltd.,CENTEXT
CESC Limited,CESC
Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT
Exide Industries Ltd.,EXIDEIND
Cipla Ltd.,CIPLA
DIC India Ltd,DICIND
Madura Coats Ltd,MADUCOA
Core Healthcare ltd.,COREPARENT
CRISIL Ltd.,CRISIL
CG Power and Industrial Solutions Limited,CGPOWER
C.T. Cotton Yarn Ltd.,CTCOTTON
Wyeth Ltd.,WYETH
Dabur India Ltd.,DABUR
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG
Skyline NEPC Ltd,SKYLNEPC
Central India Polyesters Ltd.,CENTINPO
Daewoo Motors India Ltd.,DAEWOO
Arvind Ltd.,ARVIND
Ballarpur Industries Ltd.,BALLARPUR
Bharat Heavy Electricals Ltd.,BHEL
Hindustan Petroleum Corporation Ltd,HINDPETRO
Indian Petrochemicals Corpn. Ltd.,IPCL
IFCI Ltd.,IFCI
Jindal Iron & Steel Co Ltd.,JINDALIRON
Mahanagar Telephone Nigam Ltd.,MTNL
Mangalore Refinery & Petrochemicals,MRPL
